t,vacc_status,symptomatic,asymptomatic,hospitalised,dead
107,unvaccinated,0.7071067811865476,1.9364916731037085,0.0,0.0
107,vaccinated,1.224744871391589,3.391164991562634,0.0,0.0
108,unvaccinated,1.118033988749895,1.118033988749895,0.0,0.0
108,vaccinated,1.224744871391589,1.8027756377319946,0.0,0.0
109,unvaccinated,0.0,1.224744871391589,0.0,0.0
109,vaccinated,1.6583123951777,1.9364916731037085,0.0,0.0
110,unvaccinated,0.7071067811865476,1.6583123951777,0.0,0.0
110,vaccinated,1.4142135623730951,2.9154759474226504,0.0,0.0
111,unvaccinated,0.7071067811865476,1.5811388300841898,0.0,0.0
111,vaccinated,0.8660254037844386,3.7080992435478315,0.0,0.0
112,unvaccinated,1.224744871391589,1.224744871391589,0.0,0.0
112,vaccinated,1.224744871391589,1.8027756377319946,0.0,0.0
113,unvaccinated,0.7071067811865476,3.24037034920393,0.0,0.0
113,vaccinated,1.224744871391589,2.5,0.0,0.0
114,unvaccinated,0.7071067811865476,2.23606797749979,0.0,0.0
114,vaccinated,0.5,3.774917217635375,0.0,0.0
115,unvaccinated,0.5,1.118033988749895,0.0,0.0
115,vaccinated,2.7386127875258306,2.598076211353316,0.0,0.0
116,unvaccinated,0.7071067811865476,1.8708286933869707,0.0,0.0
116,vaccinated,1.8708286933869707,2.7838821814150108,0.0,0.0
117,unvaccinated,0.0,1.5,0.0,0.0
117,vaccinated,1.118033988749895,2.3979157616563596,0.0,0.0
118,unvaccinated,0.8660254037844386,2.29128784747792,0.0,0.0
118,vaccinated,1.0,3.082207001484488,0.0,0.0
119,unvaccinated,0.7071067811865476,2.1213203435596424,0.0,0.0
119,vaccinated,1.4142135623730951,3.082207001484488,0.0,0.0
120,unvaccinated,1.0,1.9364916731037085,0.0,0.0
120,vaccinated,1.0,3.082207001484488,0.0,0.0
121,unvaccinated,0.8660254037844386,2.5,0.0,0.0
121,vaccinated,0.7071067811865476,1.8708286933869707,0.0,0.0
122,unvaccinated,0.5,2.1213203435596424,0.0,0.0
122,vaccinated,2.0,2.9154759474226504,0.0,0.0
123,unvaccinated,0.7071067811865476,1.7320508075688772,0.0,0.0
123,vaccinated,1.9364916731037085,3.278719262151,0.0,0.0
124,unvaccinated,0.7071067811865476,1.3228756555322954,0.0,0.0
124,vaccinated,1.5811388300841898,2.8284271247461903,0.0,0.0
125,unvaccinated,1.5811388300841898,1.9364916731037085,0.0,0.0
125,vaccinated,1.7320508075688772,2.958039891549808,0.0,0.0
126,unvaccinated,1.118033988749895,2.6457513110645907,0.0,0.0
126,vaccinated,1.3228756555322954,3.0,0.0,0.0
127,unvaccinated,1.5,1.5,0.0,0.0
127,vaccinated,1.3228756555322954,1.6583123951777,0.0,0.0
128,unvaccinated,0.5,2.0615528128088303,0.0,0.0
128,vaccinated,2.1213203435596424,3.2015621187164243,0.0,0.0
129,unvaccinated,0.8660254037844386,1.6583123951777,0.0,0.0
129,vaccinated,1.8708286933869707,2.345207879911715,0.0,0.0
130,unvaccinated,1.7320508075688772,2.29128784747792,0.0,0.0
130,vaccinated,1.8027756377319946,2.3979157616563596,0.0,0.0
131,unvaccinated,1.0,1.9364916731037085,0.0,0.0
131,vaccinated,1.5,2.958039891549808,0.0,0.0
132,unvaccinated,0.7071067811865476,2.0615528128088303,0.0,0.0
132,vaccinated,1.6583123951777,5.916079783099616,0.0,0.0
133,unvaccinated,0.8660254037844386,1.5,0.0,0.0
133,vaccinated,1.3228756555322954,4.55521678957215,0.0,0.0
134,unvaccinated,0.5,1.8027756377319946,0.0,0.0
